"FL_SEXO","DS_CATEGORIA","NM_PONTO_TURISTICO","NR_LATITUDE","NR_LONGITUDE","NR_NOTA_AVALIACAO"
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,4
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,4
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,4
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,8
"F","Shopping","Rua Frei Caneca",-23.553,-46.655,7
"M","Shopping","Rua Frei Caneca",-23.553,-46.655,6
"M","Parque","Campo Marte",-23.507,-46.637,3
"M","Parque","Campo Marte",-23.507,-46.637,3
"M","Parque","Campo Marte",-23.507,-46.637,3
"F","Parque","Campo Marte",-23.507,-46.637,3
"F","Parque","Campo Marte",-23.507,-46.637,3
"M","Parque","Campo Marte",-23.507,-46.637,10
"F","Shopping","Shopping Morumbi",-23.623,-46.699,8
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"M","Shopping","Shopping Morumbi",-23.623,-46.699,8
"M","Shopping","Shopping Morumbi",-23.623,-46.699,7
"M","Shopping","Shopping Morumbi",-23.623,-46.699,9
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"F","Shopping","Shopping Morumbi",-23.623,-46.699,8
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"M","Shopping","Shopping Morumbi",-23.623,-46.699,10
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"F","Shopping","Shopping Morumbi",-23.623,-46.699,9
"M","Shopping","Shopping Morumbi",-23.623,-46.699,10
"M","Shopping","Shopping Morumbi",-23.623,-46.699,8
"F","Shopping","Shopping Morumbi",-23.623,-46.699,10
"F","Shopping","Shopping Morumbi",-23.623,-46.699,9
"M","Shopping","Shopping Morumbi",-23.623,-46.699,8
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"F","Shopping","Shopping Morumbi",-23.623,-46.699,10
"M","Shopping","Shopping Morumbi",-23.623,-46.699,9
"F","Shopping","Shopping Morumbi",-23.623,-46.699,7
"M","Shopping","Shopping Morumbi",-23.623,-46.699,8
"M","Shopping","Shopping Morumbi",-23.623,-46.699,8
"M","Shopping","Shopping Morumbi",-23.623,-46.699,10
"F","Shopping","Shopping Morumbi",-23.623,-46.699,8
"M","Shopping","Shopping Morumbi",-23.623,-46.699,7
"M","Parque","Parque da USP",-23.559,-46.73,2
"F","Parque","Parque da USP",-23.559,-46.73,2
"F","Parque","Parque da USP",-23.559,-46.73,2
"M","Parque","Parque da USP",-23.559,-46.73,2
"M","Parque","Parque da USP",-23.559,-46.73,2
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,8
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,9
"F","Alimentacao","Bar do Valadares",-23.3124,-46.413,10
"M","Shopping","Shopping Tatuape",-23.54,-46.575,1
"M","Shopping","Shopping Tatuape",-23.54,-46.575,4
"F","Shopping","Shopping Tatuape",-23.54,-46.575,5
"M","Shopping","Shopping Tatuape",-23.54,-46.575,2
"M","Shopping","Shopping Tatuape",-23.54,-46.575,10
"M","Shopping","Shopping Tatuape",-23.54,-46.575,5
"F","Shopping","Shopping Tatuape",-23.54,-46.575,10
"M","Shopping","Shopping Tatuape",-23.54,-46.575,2
"M","Shopping","Shopping Tatuape",-23.54,-46.575,4
"M","Shopping","Shopping Tatuape",-23.54,-46.575,5
"M","Shopping","Shopping Tatuape",-23.54,-46.575,10
"F","Shopping","Shopping Tatuape",-23.54,-46.575,9
"M","Shopping","Shopping Tatuape",-23.54,-46.575,4
"M","Shopping","Shopping Tatuape",-23.54,-46.575,7
"F","Shopping","Shopping Tatuape",-23.54,-46.575,8
"M","Shopping","Shopping Tatuape",-23.54,-46.575,6
"M","Shopping","Shopping Tatuape",-23.54,-46.575,7
"M","Shopping","Shopping Tatuape",-23.54,-46.575,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,8
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,10
"M","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,7
"F","Shopping","Shopping Cidade Sao Paulo",-23.56354,-46.65258,9
