"NM_PONTO_TURISTICO","DT_AVALIACAO","NR_NOTA_AVALIACAO","DS_COMENTARIO"
"Feira do Bras","2024-01-08T00:00:00Z",7,"Pode ir que vai dar bom, vale a pena"
"Feira do Bras","2024-01-06T00:00:00Z",8,"Pode ir que vai dar bom, vale a pena"
"Feira do Bras","2024-01-04T00:00:00Z",6,"Pode ir que vai dar bom, vale a pena"
"Feira do Bras","2024-01-04T00:00:00Z",8,"Pode ir que vai dar bom, vale a pena"
"Feira do Bras","2024-01-06T00:00:00Z",7,"Pode ir que vai dar bom, vale a pena"
"Shopping JK Iguatemi","2024-01-08T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-03T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-07T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-02T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-04T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-06T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-06T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-08T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-03T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-05T00:00:00Z",7,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-06T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-08T00:00:00Z",9,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-03T00:00:00Z",10,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-03T00:00:00Z",8,"Excelente lugar para conhecer"
"Shopping JK Iguatemi","2024-01-05T00:00:00Z",10,"Excelente lugar para conhecer"
"Restaurante Campo Belo","2024-02-17T00:00:00Z",10,"Excelente lugar para comer"
"Restaurante Campo Belo","2026-05-21T00:00:00Z",7,"Experiencia excelente"
"Restaurante Campo Belo","2024-03-29T00:00:00Z",6,"Som de baixa qualidade e falta de empatia com as pessoas"
"Restaurante Campo Belo","2025-06-20T00:00:00Z",8,"Excelente lugar para comer"
"Restaurante Campo Belo","2025-08-09T00:00:00Z",10,"Muito bem organizado"
"Restaurante Campo Belo","2025-09-05T00:00:00Z",5,"Demora para fechar a conta, m�sica muito alta"
"Restaurante Campo Belo","2025-03-02T00:00:00Z",1,"Mesa suja, falta de pessoas para antendimento"
"Restaurante Campo Belo","2024-01-17T00:00:00Z",8,"Recomendo muito"
"Restaurante Campo Belo","2025-06-01T00:00:00Z",8,"Experiencia excelente"
"Cinema Berrini","2024-01-05T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-03T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-01T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-07T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-01T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-05T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-04T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-07T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-07T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-02T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-01T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-01T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-03T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-01T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Cinema Berrini","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-05T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-01T00:00:00Z",8,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-06T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-08T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-05T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-08T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-03T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-04T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-07T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-07T00:00:00Z",10,"Lugar show de bola, recomendo sempre"
"Catedral da Se","2024-01-08T00:00:00Z",9,"Lugar show de bola, recomendo sempre"
